Event Index	UTC Timestamp	UTC Date and Time	Local Timestamp	Local Timezone	Local Date and Time	Experiment ID	Experiment Version	Tree Node Key	Repeat Key	Schedule ID	Participant Public ID	Participant Starting Group	Participant Status	Participant Completion Code	Participant External Session ID	Participant Device Type	Participant Device	Participant OS	Participant Browser	Participant Monitor Size	Participant Viewport Size	Checkpoint	Room ID	Room Order	Task Name	Task Version	Spreadsheet	Trial Number	Display	Screen	Screen ID	Screen Counter	Response Type	Response	Onset Time	Clock Time	Reaction Time	Absolute Onset Time	Absolute Clock Time	Absolute Reaction Time	Correct	Response Onset	Response Duration	Proportion	Tag	Component Name	Object Name	Object Number	Object ID	Spreadsheet: display	Spreadsheet: screen	Spreadsheet: randomise_trials	Spreadsheet: pcp	Spreadsheet: pcp_string	Spreadsheet: group_no	Spreadsheet: sample_size	Spreadsheet: set_no	Spreadsheet: spacing	Spreadsheet: estimated_value	Spreadsheet: attention_image	Spreadsheet: correct_attention_choice	Spreadsheet: correct_answer	Spreadsheet: scale_factor	Spreadsheet: refactored_correct_answer	Spreadsheet: question_counter	Spreadsheet: text	Spreadsheet: helptext	Manipulation: Spreadsheet
66	1696859851981	09/10/2023 13:57:31	1696867051981	2	09/10/2023 17:57:31	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	17	pcp_vt	fixation	gec9f5	1	continue		1968.8129999999655	1968.8129999999655	1968.8129999999655	1968.8129999999655	1968.8129999999655	1968.8129999999655	1	1968.8129999999655	0	0		Fixation Timing	Fixation	1	object-29	pcp_vt	pcp_vt_stimulus	1	live_2_pcp_vt_size_10_set_0_30.png	live_2_pcp_vt_size_10_set_0_30	2	10	0	30				45	1	55	1			
67	1696859859464	09/10/2023 13:57:39	1696867059464	2	09/10/2023 17:57:39	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	17	pcp_vt	pcp_vt_stimulus	9rtpjb	2	continue		7482.9529999285005	7474.833000000042	7482.9529999285005	7482.9529999285005	7474.833000000042	7482.9529999285005	1	7482.9529999285005	0	0		Click To Continue	submit_button	4	object-49	pcp_vt	pcp_vt_stimulus	1	live_2_pcp_vt_size_10_set_0_30.png	live_2_pcp_vt_size_10_set_0_30	2	10	0	30				45	1	55	1			
68	1696859859464	09/10/2023 13:57:39	1696867059464	2	09/10/2023 17:57:39	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	17	pcp_vt	pcp_vt_stimulus	9rtpjb	2	response	10	6724.023000000045	7474.833000000042	7483.253000000026	6724.023000000045	7474.833000000042	7483.253000000026	1	6724.023000000045	759.2299999999814	0	estimated_value_response	Number Entry	estimated_value_input	5	object-50	pcp_vt	pcp_vt_stimulus	1	live_2_pcp_vt_size_10_set_0_30.png	live_2_pcp_vt_size_10_set_0_30	2	10	0	30				45	1	55	1			
69	1696859861425	09/10/2023 13:57:41	1696867061425	2	09/10/2023 17:57:41	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	18	pcp_vt	fixation	gec9f5	1	continue		1968.8209999999963	1968.8209999999963	1968.8209999999963	1968.8209999999963	1968.8209999999963	1968.8209999999963	1	1968.8209999999963	0	0		Fixation Timing	Fixation	1	object-29	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_60.png	live_3_pcp_vt_size_10_set_0_60	3	10	0	60				47	2	67	1			
70	1696859866768	09/10/2023 13:57:46	1696867066768	2	09/10/2023 17:57:46	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	18	pcp_vt	pcp_vt_stimulus	9rtpjb	2	continue		5342.998999976146	5339.169999999984	5342.998999976146	5342.998999976146	5339.169999999984	5342.998999976146	1	5342.998999976146	0	0		Click To Continue	submit_button	4	object-49	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_60.png	live_3_pcp_vt_size_10_set_0_60	3	10	0	60				47	2	67	1			
71	1696859866768	09/10/2023 13:57:46	1696867066768	2	09/10/2023 17:57:46	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	18	pcp_vt	pcp_vt_stimulus	9rtpjb	2	response	68	4755.189000000013	5339.169999999984	5343.298999928462	4755.189000000013	5339.169999999984	5343.298999928462	1	4755.189000000013	588.1099999284488	0	estimated_value_response	Number Entry	estimated_value_input	5	object-50	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_60.png	live_3_pcp_vt_size_10_set_0_60	3	10	0	60				47	2	67	1			
72	1696859868733	09/10/2023 13:57:48	1696867068733	2	09/10/2023 17:57:48	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	19	pcp_vt	fixation	gec9f5	1	continue		1968.810999999987	1968.810999999987	1968.810999999987	1968.810999999987	1968.810999999987	1968.810999999987	1	1968.810999999987	0	0		Fixation Timing	Fixation	1	object-29	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_240.png	live_3_pcp_vt_size_10_set_0_240	3	10	0	240				47	8	127	1			
73	1696859877384	09/10/2023 13:57:57	1696867077384	2	09/10/2023 17:57:57	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	19	pcp_vt	pcp_vt_stimulus	9rtpjb	2	continue		8650.917999952333	8642.790000000037	8650.917999952333	8650.917999952333	8642.790000000037	8650.917999952333	1	8650.917999952333	0	0		Click To Continue	submit_button	4	object-49	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_240.png	live_3_pcp_vt_size_10_set_0_240	3	10	0	240				47	8	127	1			
74	1696859877386	09/10/2023 13:57:57	1696867077386	2	09/10/2023 17:57:57	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	19	pcp_vt	pcp_vt_stimulus	9rtpjb	2	response	127	5522.715000000026	8642.790000000037	8653.417999952333	5522.715000000026	8642.790000000037	8653.417999952333	1	5522.715000000026	3130.7029999523074	0	estimated_value_response	Number Entry	estimated_value_input	5	object-50	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_240.png	live_3_pcp_vt_size_10_set_0_240	3	10	0	240				47	8	127	1			
75	1696859879345	09/10/2023 13:57:59	1696867079345	2	09/10/2023 17:57:59	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	20	pcp_vt	fixation	gec9f5	1	continue		1968.8349999999627	1968.8349999999627	1968.8349999999627	1968.8349999999627	1968.8349999999627	1968.8349999999627	1	1968.8349999999627	0	0		Fixation Timing	Fixation	1	object-29	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_20_set_0_60.png	live_3_pcp_vt_size_20_set_0_60	3	20	0	60				35	2	55	1			
