Event Index	UTC Timestamp	UTC Date	Local Timestamp	Local Timezone	Local Date	Experiment ID	Experiment Version	Tree Node Key	Repeat Key	Schedule ID	Participant Public ID	Participant Starting Group	Participant Status	Participant Completion Code	Participant External Session ID	Participant Device Type	Participant Device	Participant OS	Participant Browser	Participant Monitor Size	Participant Viewport Size	Checkpoint	Task Name	Task Version	Spreadsheet	Trial Number	Display	Screen	Screen ID	Screen Counter	Response Type	Response	Onset Time	Clock Time	Reaction Time	Absolute Onset Time	Absolute Clock Time	Absolute Reaction Time	Correct	Response Onset	Response Duration	Proportion	Tag	Component Name	Object Name	Object Number	Object ID	Spreadsheet: display	Spreadsheet: randomise_trials	Spreadsheet: pcp	Spreadsheet: pcp_string	Spreadsheet: corr	Spreadsheet: sample_size	Spreadsheet: spacing	Spreadsheet: corr_scale	Spreadsheet: corr_estimated	Spreadsheet: attention_image	Spreadsheet: correct_attention_choice	Spreadsheet: text	Spreadsheet: screen	Spreadsheet: helptext	Spreadsheet: corr_correct_response	Manipulation: Spreadsheet
89	1686557730783	12/06/2023 08:15:30	1686564930783	2	12/06/2023 12:15:30	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	1	attention_button	attention_button_select	mx2tou	2	response	A	2783.6420000000508	2766.780000000028	2783.6420000000508	2783.6420000000508	2766.780000000028	2783.6420000000508	1	2783.6420000000508	0	0		Click Response	Response	1	object-81	attention_button										A		attention_button_select			
90	1686557732732	12/06/2023 08:15:32	1686564932732	2	12/06/2023 12:15:32	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	25	corr_est	fixation	uey5yj	1	continue		1966.3800000000047	1966.3800000000047	1966.3800000000047	1966.3800000000047	1966.3800000000047	1966.3800000000047	1	1966.3800000000047	0	0		Fixation Timing	Fixation	1	object-16	corr_est	1	pcp_corr_-0.905_size_160_120.png	pcp_corr_-0.905_size_160_120	-0.905	160	120	-3					corr_est_stimulus			
91	1686557734885	12/06/2023 08:15:34	1686564934885	2	12/06/2023 12:15:34	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	25	corr_est	corr_est_stimulus	ws1eyw	2	tooEarly	-3	0	0	0	2150.2690000000293	2133.592000000004	2150.2690000000293	1	0	0	0	estimated_corr	Click Response	---	4	object-23	corr_est	1	pcp_corr_-0.905_size_160_120.png	pcp_corr_-0.905_size_160_120	-0.905	160	120	-3					corr_est_stimulus			
92	1686557734887	12/06/2023 08:15:34	1686564934887	2	12/06/2023 12:15:34	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	25	corr_est	corr_est_stimulus	ws1eyw	2	continue		0	0	0	2150.2690000000293	2133.592000000004	2150.2690000000293	1	0	0	0		Click To Continue	---	4	object-23	corr_est	1	pcp_corr_-0.905_size_160_120.png	pcp_corr_-0.905_size_160_120	-0.905	160	120	-3					corr_est_stimulus			
93	1686557736832	12/06/2023 08:15:36	1686564936832	2	12/06/2023 12:15:36	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	26	corr_est	fixation	uey5yj	1	continue		1966.6969999999856	1966.6969999999856	1966.6969999999856	1966.6969999999856	1966.6969999999856	1966.6969999999856	1	1966.6969999999856	0	0		Fixation Timing	Fixation	1	object-16	corr_est	1	pcp_corr_0.905_size_160_120.png	pcp_corr_0.905_size_160_120	0.905	160	120	3					corr_est_stimulus			
94	1686557740088	12/06/2023 08:15:40	1686564940088	2	12/06/2023 12:15:40	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	26	corr_est	corr_est_stimulus	ws1eyw	2	tooEarly	3	0	0	0	3256.5	3249.7339999999967	3256.5	1	0	0	0	estimated_corr	Click Response	+++	10	object-29	corr_est	1	pcp_corr_0.905_size_160_120.png	pcp_corr_0.905_size_160_120	0.905	160	120	3					corr_est_stimulus			
95	1686557740089	12/06/2023 08:15:40	1686564940089	2	12/06/2023 12:15:40	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	26	corr_est	corr_est_stimulus	ws1eyw	2	continue		0	0	0	3257.7999999821186	3249.7339999999967	3257.7999999821186	1	0	0	0		Click To Continue	+++	10	object-29	corr_est	1	pcp_corr_0.905_size_160_120.png	pcp_corr_0.905_size_160_120	0.905	160	120	3					corr_est_stimulus			
96	1686557742049	12/06/2023 08:15:42	1686564942049	2	12/06/2023 12:15:42	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	27	corr_est	fixation	uey5yj	1	continue		1966.701000000001	1966.701000000001	1966.701000000001	1966.701000000001	1966.701000000001	1966.701000000001	1	1966.701000000001	0	0		Fixation Timing	Fixation	1	object-16	corr_est	1	pcp_corr_-0.905_size_160_30.png	pcp_corr_-0.905_size_160_30	-0.905	160	30	-3					corr_est_stimulus			
97	1686557744083	12/06/2023 08:15:44	1686564944083	2	12/06/2023 12:15:44	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	27	corr_est	corr_est_stimulus	ws1eyw	2	tooEarly	-3	0	0	0	2033.5089999999618	2016.8979999999865	2033.5089999999618	1	0	0	0	estimated_corr	Click Response	---	4	object-23	corr_est	1	pcp_corr_-0.905_size_160_30.png	pcp_corr_-0.905_size_160_30	-0.905	160	30	-3					corr_est_stimulus			
98	1686557744084	12/06/2023 08:15:44	1686564944084	2	12/06/2023 12:15:44	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	27	corr_est	corr_est_stimulus	ws1eyw	2	continue		0	0	0	2033.5089999999618	2016.8979999999865	2033.5089999999618	1	0	0	0		Click To Continue	---	4	object-23	corr_est	1	pcp_corr_-0.905_size_160_30.png	pcp_corr_-0.905_size_160_30	-0.905	160	30	-3					corr_est_stimulus			
